customer_key,customer_number,customer_name,age_year,total_orders,total_sales,total_quantity,total_products,first_order,last_order,lifespan_months,customer_segment,age_group,recency_months,avg_order_value,avg_monthly_spend
50,AW00011049,Carol Rai,40,2,81,5,5,2013-03-09,2013-10-29,8,New,40-49,144,40,10
51,AW00011050,Alan Zheng,68,3,5007,6,6,2011-02-20,2013-11-19,33,VIP,50 and above,143,1669,152
52,AW00011051,Daniel Johnson,69,2,124,5,5,2013-12-29,2014-01-01,0,New,50 and above,142,62,0
53,AW00011052,Heidi Lopez,69,3,8131,7,7,2011-02-17,2013-05-27,28,VIP,50 and above,149,2710,290
54,AW00011053,Ana Price,40,1,2330,2,2,2013-01-17,2013-01-17,0,New,40-49,154,2330,0
55,AW00011054,Deanna Munoz,68,3,8223,6,6,2011-02-03,2013-05-30,28,VIP,50 and above,149,2741,294
56,AW00011055,Gilbert Raje,68,3,8168,8,8,2011-01-31,2013-06-07,29,VIP,50 and above,149,2723,282
57,AW00011056,Michele Nath,67,3,8207,8,8,2011-02-26,2013-05-31,28,VIP,50 and above,149,2736,293
58,AW00011057,Carl Andersen,55,3,8088,4,4,2011-02-22,2013-05-21,27,VIP,50 and above,150,2696,300
59,AW00011058,Marc Diaz,60,3,8248,6,6,2011-03-09,2013-06-04,27,VIP,50 and above,149,2749,305
60,AW00011059,Ashlee Andersen,66,3,117,7,6,2013-02-18,2013-03-16,1,New,50 and above,152,39,117
61,AW00011060,Jon Zhou,66,3,8153,6,6,2011-03-19,2013-06-25,28,VIP,50 and above,148,2718,291
62,AW00011061,Todd Gao,50,3,8129,6,6,2011-03-13,2013-06-14,27,VIP,50 and above,149,2710,301
63,AW00011062,Noah Powell,45,1,2352,3,3,2013-01-07,2013-01-07,0,New,40-49,154,2352,0
64,AW00011063,Angela Murphy,45,1,2373,5,5,2013-01-12,2013-01-12,0,New,40-49,154,2373,0
65,AW00011064,Chase Reed,44,1,2305,2,2,2013-01-25,2013-01-25,0,New,40-49,153,2305,0
66,AW00011065,Jessica Henderson,46,2,202,5,4,2013-02-10,2014-01-10,11,New,40-49,142,101,18
67,AW00011066,Grace Butler,46,2,81,5,5,2013-05-31,2013-09-19,4,New,40-49,145,40,20
68,AW00011067,Caleb Carter,43,2,105,6,6,2013-08-18,2014-01-12,5,New,40-49,142,52,21
69,AW00011068,Tiffany Liang,59,3,113,9,8,2013-04-30,2013-10-08,5,New,50 and above,145,38,23
70,AW00011069,Carolyn Navarro,59,3,8104,3,3,2011-04-17,2013-06-04,26,VIP,50 and above,149,2701,312
71,AW00011070,Willie Raji,65,3,8165,10,9,2011-04-28,2013-06-26,26,VIP,50 and above,148,2722,314
72,AW00011071,Linda Serrano,65,3,110,7,6,2013-03-01,2013-12-01,9,New,50 and above,143,37,12
73,AW00011072,Casey Luo,65,3,8194,7,7,2011-03-31,2013-06-15,27,VIP,50 and above,149,2731,303
74,AW00011073,Amy Ye,64,3,192,10,9,2013-03-23,2013-08-21,5,New,50 and above,146,64,38
75,AW00011074,Levi Arun,64,3,94,7,7,2013-03-23,2013-05-27,2,New,50 and above,149,31,47
76,AW00011075,Felicia Jimenez,62,3,8068,5,5,2011-04-28,2013-06-24,26,VIP,50 and above,148,2689,310
77,AW00011076,Blake Anderson,63,3,8159,4,4,2011-04-21,2013-06-21,26,VIP,50 and above,148,2720,314
78,AW00011077,Leah Ye,62,3,8169,5,5,2011-04-15,2013-06-12,26,VIP,50 and above,149,2723,314
79,AW00011078,Gina Martin,41,17,912,31,23,2013-02-15,2014-01-28,12,Regular,40-49,141,54,76
80,AW00011079,Donald Gonzalez,55,3,58,5,5,2013-03-15,2014-01-01,10,New,50 and above,142,19,6
81,AW00011080,Damien Chander,61,3,8204,7,7,2011-04-10,2013-06-23,27,VIP,50 and above,148,2735,304
82,AW00011081,Savannah Baker,54,2,104,5,5,2013-02-12,2013-04-13,2,New,50 and above,151,52,52
83,AW00011082,Angela Butler,54,2,3110,6,6,2013-01-22,2013-11-06,10,New,50 and above,144,1555,311
84,AW00011083,Alyssa Cox,48,2,3137,5,5,2013-01-06,2013-11-08,10,New,40-49,144,1568,314
85,AW00011084,Lucas Phillips,62,2,3078,5,5,2013-01-04,2013-11-21,11,New,50 and above,143,1539,280
86,AW00011085,Emily Johnson,63,2,129,5,5,2013-12-06,2014-01-08,1,New,50 and above,142,64,129
87,AW00011086,Ryan Brown,62,2,153,6,6,2013-07-02,2013-12-21,6,New,50 and above,142,76,26
88,AW00011087,Tamara Liang,62,2,200,4,4,2013-02-25,2013-08-09,6,New,50 and above,147,100,33
89,AW00011088,Hunter Davis,62,2,3176,7,7,2013-01-13,2013-11-12,10,New,50 and above,144,1588,318
90,AW00011089,Abigail Price,63,2,3188,7,7,2012-12-29,2013-11-18,11,New,50 and above,143,1594,290
91,AW00011090,Trevor Bryant,57,3,6703,6,6,2011-08-07,2013-11-21,28,VIP,50 and above,143,2234,239
92,AW00011091,Dalton Perez,63,28,1186,59,25,2013-01-29,2014-01-08,11,New,50 and above,142,42,108
93,AW00011092,Cheryl Diaz,53,3,8110,5,5,2011-04-08,2013-06-21,27,VIP,50 and above,148,2703,300
94,AW00011093,Aimee He,47,3,8180,7,7,2011-04-07,2013-06-08,26,VIP,40-49,149,2727,315
95,AW00011094,Cedric Ma,58,3,236,8,8,2013-04-07,2014-01-11,9,New,50 and above,142,79,26
96,AW00011095,Chad Kumar,58,3,8158,7,7,2011-04-01,2013-06-25,27,VIP,50 and above,148,2719,302
97,AW00011096,Andrés Anand,58,3,8063,4,4,2011-04-11,2013-07-30,28,VIP,50 and above,147,2688,288
98,AW00011097,Edwin Nara,53,3,8099,5,5,2011-04-04,2013-07-24,28,VIP,50 and above,147,2700,289
99,AW00011098,Mallory Rubio,59,3,89,4,4,2013-02-11,2013-10-16,8,New,50 and above,145,30,11
100,AW00011099,Adam Ross,59,3,8216,9,8,2011-04-07,2013-07-01,27,VIP,50 and above,148,2739,304
101,AW00011100,Latasha Navarro,59,3,8172,7,7,2011-04-16,2013-08-07,28,VIP,50 and above,147,2724,292
102,AW00011101,Abby Sai,55,3,8262,7,7,2011-04-29,2013-06-29,26,VIP,50 and above,148,2754,318
103,AW00011102,Julia Nelson,55,3,103,5,5,2013-07-16,2013-12-09,5,New,50 and above,143,34,21
104,AW00011103,Cassie Chande,44,3,8182,8,8,2011-04-15,2013-06-06,26,VIP,40-49,149,2727,315
105,AW00011104,Edgar Sara,50,3,8173,6,6,2011-05-04,2013-06-15,26,VIP,50 and above,149,2724,314
106,AW00011105,Candace Fernandez,55,3,8096,5,5,2011-05-14,2013-06-05,25,VIP,50 and above,149,2699,324
107,AW00011106,Jessie Liu,55,3,8079,3,3,2011-05-18,2013-06-15,25,VIP,50 and above,149,2693,323
108,AW00011107,Bianca Lin,49,3,8171,6,6,2011-05-01,2013-06-21,26,VIP,40-49,148,2724,314
109,AW00011108,Kari Alvarez,57,3,8124,5,5,2011-05-03,2013-06-23,26,VIP,50 and above,148,2708,312
110,AW00011109,Ruben Kapoor,45,3,8245,8,8,2011-05-10,2013-06-24,26,VIP,40-49,148,2748,317
111,AW00011110,Curtis Yang,58,3,8093,5,5,2011-05-01,2013-08-20,28,VIP,50 and above,146,2698,289
112,AW00011111,Meredith Gutierrez,58,3,8137,8,8,2011-05-20,2013-08-22,28,VIP,50 and above,146,2712,291
113,AW00011112,Crystal Wang,57,3,8295,6,6,2011-05-25,2013-09-02,28,VIP,50 and above,146,2765,296
114,AW00011113,Micheal Blanco,53,3,110,7,7,2013-02-01,2013-04-21,3,New,50 and above,150,37,37
115,AW00011114,Leslie Moreno,58,3,123,7,6,2013-03-18,2013-12-26,9,New,50 and above,142,41,14
116,AW00011115,Alvin Cai,58,3,114,6,6,2013-02-10,2014-01-02,11,New,50 and above,142,38,10
117,AW00011116,Clinton Carlson,46,3,149,7,7,2013-03-15,2013-10-16,7,New,40-49,145,50,21
118,AW00011117,April Deng,59,3,8185,8,8,2011-05-06,2013-06-25,26,VIP,50 and above,148,2728,315
119,AW00011118,Alvin Zeng,63,3,124,8,6,2013-07-10,2014-01-26,7,New,50 and above,141,41,18
120,AW00011119,Evan James,85,2,85,4,4,2013-02-03,2013-11-23,10,New,50 and above,143,42,8
121,AW00011120,Beth Jiménez,84,3,8242,10,10,2011-05-14,2013-09-19,29,VIP,50 and above,145,2747,284
122,AW00011121,Orlando Suarez,59,3,58,6,5,2013-06-24,2013-11-04,4,New,50 and above,144,19,14
123,AW00011122,Byron Vazquez,60,3,43,3,3,2013-02-21,2013-08-22,6,New,50 and above,146,14,7
124,AW00011123,Philip Alvarez,60,3,150,8,7,2013-04-17,2014-01-25,9,New,50 and above,141,50,17
125,AW00011124,Ross Jordan,57,3,8129,6,6,2011-05-05,2013-06-18,26,VIP,50 and above,149,2710,313
126,AW00011125,Dana Navarro,64,3,79,7,7,2013-01-31,2013-07-03,5,New,50 and above,148,26,16
127,AW00011126,Shaun Carson,71,3,4971,8,7,2011-05-28,2013-11-03,30,Regular,50 and above,144,1657,166
128,AW00011127,Jan Edwards,44,2,44,3,3,2013-04-10,2013-10-01,6,New,40-49,145,22,7
129,AW00011128,Samantha Long,44,2,144,7,7,2013-06-19,2013-08-12,2,New,40-49,147,72,72
130,AW00011129,Julia Wright,45,2,5873,2,2,2011-08-06,2013-01-09,17,VIP,40-49,154,2936,345
131,AW00011130,Caroline Russell,40,1,37,2,2,2013-12-09,2013-12-09,0,New,40-49,143,37,0
132,AW00011131,Amanda Rivera,40,5,166,9,9,2013-10-18,2014-01-23,3,New,40-49,141,33,55
133,AW00011132,Melissa Richardson,39,1,2372,6,6,2013-04-09,2013-04-09,0,New,30-39,151,2372,0
134,AW00011133,Angela Griffin,39,1,72,4,4,2013-12-30,2013-12-30,0,New,30-39,142,72,0
135,AW00011134,Larry Townsend,69,3,4911,3,3,2011-05-03,2013-11-03,30,Regular,50 and above,144,1637,164
136,AW00011135,Marcus Harris,40,1,2335,3,3,2013-04-18,2013-04-18,0,New,40-49,151,2335,0
137,AW00011136,Brianna Morgan,41,1,2381,3,3,2013-01-03,2013-01-03,0,New,40-49,154,2381,0
138,AW00011137,Jasmine Taylor,42,2,202,5,4,2013-07-31,2014-01-20,6,New,40-49,141,101,34
139,AW00011138,Lauren Davis,41,2,79,4,4,2013-09-19,2013-12-31,3,New,40-49,142,40,26
140,AW00011139,Tanya Moreno,76,2,84,3,3,2013-09-14,2013-10-17,1,New,50 and above,145,42,84
141,AW00011140,Javier Alvarez,43,1,40,2,2,2013-03-19,2013-03-19,0,New,40-49,152,40,0
142,AW00011141,Nicole Ramirez,43,2,114,5,5,2013-05-16,2013-09-28,4,New,40-49,145,57,28
143,AW00011142,Eduardo Patterson,43,17,979,36,23,2013-02-13,2014-01-13,11,New,40-49,142,58,89
144,AW00011143,Jonathan Henderson,43,2,48,5,4,2013-06-15,2013-12-19,6,New,40-49,142,24,8
145,AW00011144,Edward Hernandez,40,1,2400,3,3,2013-01-25,2013-01-25,0,New,40-49,153,2400,0
146,AW00011145,Jasmine Coleman,40,1,2310,3,3,2013-01-25,2013-01-25,0,New,40-49,153,2310,0
147,AW00011146,Karla Goel,81,3,113,7,6,2013-02-05,2013-09-15,7,New,50 and above,146,38,16
148,AW00011147,Ernest Wu,81,3,8195,7,7,2011-05-13,2013-10-16,30,VIP,50 and above,145,2732,273
149,AW00011148,Ross Vazquez,79,3,126,6,5,2013-03-07,2013-12-03,9,New,50 and above,143,42,14
150,AW00011149,Theodore Gill,79,3,41,4,4,2013-06-04,2013-11-29,6,New,50 and above,143,14,7
151,AW00011150,Russell Shen,79,3,192,8,7,2013-03-27,2013-07-15,4,New,50 and above,148,64,48
152,AW00011151,Melinda Gill,78,3,8087,6,6,2011-05-15,2013-10-20,30,VIP,50 and above,144,2696,270
153,AW00011152,James Williams,44,1,2295,1,1,2013-01-09,2013-01-09,0,New,40-49,154,2295,0
154,AW00011153,Angela James,44,2,110,5,5,2013-03-29,2013-03-29,0,New,40-49,151,55,0
155,AW00011154,Megan Walker,44,1,2320,1,1,2013-01-10,2013-01-10,0,New,40-49,154,2320,0
156,AW00011155,Hunter Robinson,44,1,2320,1,1,2013-01-06,2013-01-06,0,New,40-49,154,2320,0
157,AW00011156,Maria Roberts,44,1,2390,4,4,2013-01-08,2013-01-08,0,New,40-49,154,2390,0
158,AW00011157,Hannah Long,45,2,41,3,3,2013-07-24,2013-09-11,2,New,40-49,146,20,20
159,AW00011158,Jason Wright,44,1,2396,3,3,2013-01-19,2013-01-19,0,New,40-49,154,2396,0
160,AW00011159,Brianna Hughes,44,2,48,5,4,2013-09-08,2013-11-07,2,New,40-49,144,24,24
161,AW00011160,Maurice Tang,46,1,2322,2,2,2013-02-21,2013-02-21,0,New,40-49,152,2322,0
162,AW00011161,Emily Wood,46,2,94,6,6,2013-06-01,2013-11-11,5,New,40-49,144,47,19
163,AW00011162,Chase Cox,46,1,2330,2,2,2013-02-18,2013-02-18,0,New,40-49,153,2330,0
164,AW00011163,Gabriel Wang,45,2,46,4,4,2013-05-01,2013-08-05,3,New,40-49,147,23,15
165,AW00011164,Devin Brooks,46,2,145,6,6,2013-04-27,2013-08-05,3,New,40-49,147,72,48
166,AW00011165,Jocelyn Alexander,47,2,103,3,3,2013-05-25,2013-06-05,0,New,40-49,149,52,0
167,AW00011166,Ashley Martinez,48,2,88,5,5,2013-10-14,2013-12-06,2,New,40-49,143,44,44
168,AW00011167,Jasmine Barnes,48,2,3126,4,4,2013-01-07,2013-11-28,11,New,40-49,143,1563,284
169,AW00011168,David Rodriguez,52,2,3136,7,7,2013-01-15,2013-11-16,10,New,50 and above,144,1568,314
170,AW00011169,Bryce Richardson,52,2,81,5,5,2013-05-26,2013-09-24,4,New,50 and above,145,40,20
171,AW00011170,Carol Howard,52,2,157,7,7,2013-08-26,2013-12-29,4,New,50 and above,142,78,39
172,AW00011171,Jonathan Hill,47,3,6716,8,8,2011-08-20,2013-11-07,27,VIP,40-49,144,2239,249
173,AW00011172,Gabrielle Adams,52,2,129,7,6,2013-05-03,2014-01-11,8,New,50 and above,142,64,16
174,AW00011173,Sarah Thomas,53,2,103,3,3,2013-03-02,2013-12-24,10,New,50 and above,142,52,10
175,AW00011174,Nicholas Robinson,53,2,48,5,4,2013-07-13,2013-07-25,0,New,50 and above,147,24,0
176,AW00011175,Luis Wang,57,3,6710,8,8,2011-08-28,2013-11-03,27,VIP,50 and above,144,2237,249
177,AW00011176,Mason Roberts,47,28,1317,60,27,2013-02-02,2014-01-27,12,Regular,40-49,141,47,110
178,AW00011177,Jose Flores,78,2,135,6,6,2013-03-29,2013-10-14,7,New,50 and above,145,68,19
179,AW00011178,Nathan Johnson,71,2,145,6,6,2013-02-21,2013-05-26,3,New,50 and above,149,72,48
180,AW00011179,Molly Rodriguez,66,2,125,6,6,2013-03-12,2014-01-09,10,New,50 and above,142,62,12
181,AW00011180,April Anand,77,2,138,6,6,2013-03-17,2013-09-25,6,New,50 and above,145,69,23
182,AW00011181,Devin Martin,66,2,41,3,3,2013-05-07,2013-07-11,2,New,50 and above,148,20,20
183,AW00011182,Stephanie Torres,76,2,81,5,5,2013-08-28,2014-01-05,4,New,50 and above,142,40,20
184,AW00011183,Jasmine Lee,76,2,46,4,4,2013-04-30,2013-06-13,1,New,50 and above,149,23,46
185,AW00011184,Meghan Hernandez,70,2,68,5,5,2013-08-10,2013-10-09,2,New,50 and above,145,34,34
186,AW00011185,Ashley Henderson,75,27,1616,68,29,2013-02-21,2014-01-26,11,New,50 and above,141,60,147
187,AW00011186,Sarah Price,76,2,41,3,3,2013-10-18,2014-01-07,3,New,50 and above,142,20,14
188,AW00011187,Jennifer Cooper,76,2,108,4,4,2013-04-03,2013-08-06,4,New,50 and above,147,54,27
189,AW00011188,Catherine Morris,75,2,81,5,5,2013-11-01,2014-01-21,3,New,50 and above,141,40,27
190,AW00011189,Lawrence Blanco,76,2,5944,6,6,2011-08-26,2013-02-05,18,VIP,50 and above,153,2972,330
191,AW00011190,Carson Bryant,76,2,46,4,4,2013-08-28,2014-01-16,5,New,50 and above,142,23,9
192,AW00011191,Kristi Perez,74,3,6743,7,7,2011-08-11,2013-11-06,27,VIP,50 and above,144,2248,250
193,AW00011192,James Brown,74,2,114,5,5,2013-06-23,2013-09-25,3,New,50 and above,145,57,38
194,AW00011193,Ian Gray,75,2,41,3,3,2013-02-25,2013-08-18,6,New,50 and above,147,20,7
195,AW00011194,Jacqueline Price,75,2,105,6,6,2013-03-13,2013-12-08,9,New,50 and above,143,52,12
196,AW00011195,Megan Henderson,74,2,105,6,6,2013-04-14,2013-10-22,6,New,50 and above,144,52,18
197,AW00011196,Alfredo Romero,74,2,162,4,4,2013-03-03,2013-09-24,7,New,50 and above,145,81,23
198,AW00011197,Andrea Morris,74,2,207,6,5,2013-05-02,2013-07-20,3,New,50 and above,148,104,69
199,AW00011198,Brooke Sanders,73,2,98,4,4,2013-02-05,2013-02-13,0,New,50 and above,153,49,0
200,AW00011199,Jacqueline Bennett,68,2,132,6,6,2013-03-18,2013-10-17,7,New,50 and above,145,66,19
201,AW00011200,Jason Griffin,72,27,1461,55,26,2013-02-07,2014-01-20,12,Regular,50 and above,141,54,122
202,AW00011201,Amanda Foster,73,2,181,6,6,2013-07-01,2013-09-09,2,New,50 and above,146,90,90
203,AW00011202,Alexia Price,67,2,74,3,3,2013-09-15,2013-09-21,0,New,50 and above,145,37,0
204,AW00011203,Luis Diaz,66,17,800,32,19,2013-02-20,2013-12-11,10,New,50 and above,143,47,80
205,AW00011204,Destiny Rivera,72,2,77,4,4,2013-08-09,2013-11-10,3,New,50 and above,144,38,26
206,AW00011205,Abby Fernandez,72,2,37,2,2,2013-07-27,2013-10-08,2,New,50 and above,145,18,18
207,AW00011206,Blake Flores,71,2,77,4,4,2013-05-11,2013-05-30,1,New,50 and above,149,38,77
208,AW00011207,Danielle Cox,72,2,77,4,4,2013-01-31,2013-10-18,9,New,50 and above,144,38,9
209,AW00011208,Maria Reed,72,2,134,7,7,2013-03-04,2013-09-17,7,New,50 and above,146,67,19
210,AW00011209,Allison Evans,72,2,37,2,2,2013-03-25,2014-01-22,10,New,50 and above,141,18,4
211,AW00011210,Edward Wood,72,2,70,5,5,2013-05-06,2013-09-06,4,New,50 and above,146,35,18
212,AW00011211,Samantha Russell,65,17,792,33,22,2013-02-01,2014-01-07,11,New,50 and above,142,47,72
213,AW00011212,Chloe Campbell,70,17,824,33,20,2013-01-30,2014-01-17,12,Regular,50 and above,141,48,69
214,AW00011213,Stephanie Murphy,71,2,77,4,4,2013-03-28,2013-09-09,6,New,50 and above,146,38,13
215,AW00011214,Charles Miller,70,2,162,4,4,2013-08-14,2013-11-19,3,New,50 and above,143,81,54
216,AW00011215,Ana Perry,64,17,1154,32,21,2013-02-15,2013-12-15,10,New,50 and above,143,68,115
217,AW00011216,Jasmine Torres,70,2,5948,5,5,2011-08-15,2013-02-05,18,VIP,50 and above,153,2974,330
218,AW00011217,Natalie Adams,70,2,5953,3,3,2011-08-10,2013-02-14,18,VIP,50 and above,153,2976,331
219,AW00011218,Olivia Brown,64,2,39,3,2,2013-02-28,2014-01-04,10,New,50 and above,142,20,4
220,AW00011219,Charles Cook,69,2,39,3,2,2013-10-29,2014-01-24,3,New,50 and above,141,20,13
221,AW00011220,Erica Huang,65,2,50,4,4,2013-03-14,2013-12-13,9,New,50 and above,143,25,6
222,AW00011221,Nathan Perry,70,2,46,4,4,2013-04-07,2013-10-17,6,New,50 and above,145,23,8
223,AW00011222,Alexandra Rivera,70,2,208,6,6,2013-11-01,2013-11-28,1,New,50 and above,143,104,208
224,AW00011223,Hailey Patterson,68,27,1293,65,26,2013-01-29,2014-01-06,11,New,50 and above,142,48,118
225,AW00011224,Tiffany Li,68,3,6685,5,5,2011-08-07,2013-12-03,28,VIP,50 and above,143,2228,239
226,AW00011225,Madison Lee,64,2,73,5,5,2013-06-22,2013-09-06,3,New,50 and above,146,36,24
227,AW00011226,Sydney Ross,63,2,37,2,2,2013-02-21,2013-03-31,1,New,50 and above,151,18,37
228,AW00011227,Marshall Chavez,63,2,5910,5,5,2011-08-03,2013-02-10,19,VIP,50 and above,153,2955,311
229,AW00011228,Ashley Jones,69,2,77,4,4,2013-10-25,2014-01-17,3,New,50 and above,141,38,26
230,AW00011229,Adrian Stewart,68,2,81,5,5,2013-07-27,2014-01-25,6,New,50 and above,141,40,14
231,AW00011230,Amber Turner,69,2,54,5,5,2013-07-16,2013-12-09,5,New,50 and above,143,27,11
232,AW00011231,Dennis Zhang,62,2,64,4,4,2013-02-10,2013-11-12,9,New,50 and above,144,32,7
233,AW00011232,Hailey Bryant,67,2,39,3,2,2013-09-20,2013-11-13,2,New,50 and above,144,20,20
234,AW00011233,Todd Li,62,2,179,7,7,2013-02-08,2013-06-08,4,New,50 and above,149,90,45
235,AW00011234,Anna Griffin,67,2,76,4,4,2013-02-08,2013-09-19,7,New,50 and above,145,38,11
236,AW00011235,Angel Stewart,68,2,138,6,5,2013-07-04,2014-01-05,6,New,50 and above,142,69,23
237,AW00011236,Jeremy Butler,68,2,114,5,5,2013-10-03,2014-01-06,3,New,50 and above,142,57,38
238,AW00011237,Clarence Anand,61,4,10566,6,6,2011-09-05,2013-11-25,27,VIP,50 and above,143,2642,391
239,AW00011238,Mayra Prasad,62,4,7543,9,9,2011-01-06,2013-04-30,28,VIP,50 and above,150,1886,269
240,AW00011239,Latoya Goel,56,4,7511,11,11,2011-01-19,2013-05-28,29,VIP,50 and above,149,1878,259
241,AW00011240,Anne Hernandez,61,4,7586,13,10,2011-02-27,2013-05-13,27,VIP,50 and above,150,1896,281
242,AW00011241,Lisa Cai,51,7,11468,25,20,2012-09-10,2013-10-29,14,VIP,50 and above,144,1638,819
243,AW00011242,Larry Munoz,62,7,11067,12,12,2012-09-19,2013-12-04,15,VIP,50 and above,143,1581,738
